11:10:35: Edge Data
11:10:35: ---------
11:10:35: Triangle 0 = {indexSet=0, vertexSet=0, v0=5085, v1=5084, v2=5082}
11:10:35: Triangle 1 = {indexSet=0, vertexSet=0, v0=5088, v1=5087, v2=5086}
11:10:35: Triangle 2 = {indexSet=0, vertexSet=0, v0=5081, v1=5080, v2=5079}
11:10:35: Triangle 3 = {indexSet=0, vertexSet=0, v0=5084, v1=5083, v2=5082}
11:10:35: Triangle 4 = {indexSet=0, vertexSet=0, v0=5091, v1=5090, v2=5089}
11:10:35: Triangle 5 = {indexSet=0, vertexSet=0, v0=5100, v1=5099, v2=5098}
11:10:35: Triangle 6 = {indexSet=0, vertexSet=0, v0=5101, v1=5100, v2=5098}
11:10:35: Triangle 7 = {indexSet=0, vertexSet=0, v0=5094, v1=5093, v2=5092}
11:10:35: Triangle 8 = {indexSet=0, vertexSet=0, v0=5097, v1=5096, v2=5095}
11:10:35: Triangle 9 = {indexSet=0, vertexSet=0, v0=5068, v1=5067, v2=5064}
11:10:35: Triangle 10 = {indexSet=0, vertexSet=0, v0=5071, v1=5070, v2=5069}
11:10:35: Triangle 11 = {indexSet=0, vertexSet=0, v0=5066, v1=5065, v2=5064}
11:10:35: Triangle 12 = {indexSet=0, vertexSet=0, v0=5067, v1=5066, v2=5064}
11:10:35: Triangle 13 = {indexSet=0, vertexSet=0, v0=5074, v1=5073, v2=5072}
11:10:35: Triangle 14 = {indexSet=0, vertexSet=0, v0=5077, v1=5076, v2=5072}
11:10:35: Triangle 15 = {indexSet=0, vertexSet=0, v0=5078, v1=5077, v2=5072}
11:10:35: Triangle 16 = {indexSet=0, vertexSet=0, v0=5075, v1=5074, v2=5072}
11:10:35: Triangle 17 = {indexSet=0, vertexSet=0, v0=5076, v1=5075, v2=5072}
11:10:35: Triangle 18 = {indexSet=0, vertexSet=0, v0=5137, v1=5136, v2=5135}
11:10:35: Triangle 19 = {indexSet=0, vertexSet=0, v0=5140, v1=5139, v2=5138}
11:10:35: Triangle 20 = {indexSet=0, vertexSet=0, v0=5131, v1=5130, v2=5129}
11:10:35: Triangle 21 = {indexSet=0, vertexSet=0, v0=5134, v1=5133, v2=5132}
11:10:35: Triangle 22 = {indexSet=0, vertexSet=0, v0=5143, v1=5142, v2=5141}
11:10:35: Triangle 23 = {indexSet=0, vertexSet=0, v0=5150, v1=5149, v2=5148}
11:10:35: Triangle 24 = {indexSet=0, vertexSet=0, v0=5151, v1=5150, v2=5148}
11:10:35: Triangle 25 = {indexSet=0, vertexSet=0, v0=5146, v1=5145, v2=5144}
11:10:35: Triangle 26 = {indexSet=0, vertexSet=0, v0=5147, v1=5146, v2=5144}
11:10:35: Triangle 27 = {indexSet=0, vertexSet=0, v0=5110, v1=5109, v2=5108}
11:10:35: Triangle 28 = {indexSet=0, vertexSet=0, v0=5113, v1=5112, v2=5111}
11:10:35: Triangle 29 = {indexSet=0, vertexSet=0, v0=5104, v1=5103, v2=5102}
11:10:35: Triangle 30 = {indexSet=0, vertexSet=0, v0=5107, v1=5106, v2=5105}
11:10:35: Triangle 31 = {indexSet=0, vertexSet=0, v0=5116, v1=5115, v2=5114}
11:10:35: Triangle 32 = {indexSet=0, vertexSet=0, v0=5125, v1=5124, v2=5123}
11:10:35: Triangle 33 = {indexSet=0, vertexSet=0, v0=5128, v1=5127, v2=5126}
11:10:35: Triangle 34 = {indexSet=0, vertexSet=0, v0=5119, v1=5118, v2=5117}
11:10:35: Triangle 35 = {indexSet=0, vertexSet=0, v0=5122, v1=5121, v2=5120}
11:10:35: Triangle 36 = {indexSet=0, vertexSet=0, v0=5011, v1=5010, v2=5008}
11:10:35: Triangle 37 = {indexSet=0, vertexSet=0, v0=5014, v1=5013, v2=5012}
11:10:35: Triangle 38 = {indexSet=0, vertexSet=0, v0=5007, v1=5006, v2=5005}
11:10:35: Triangle 39 = {indexSet=0, vertexSet=0, v0=5010, v1=5009, v2=5008}
11:10:35: Triangle 40 = {indexSet=0, vertexSet=0, v0=5015, v1=5014, v2=5012}
11:10:35: Triangle 41 = {indexSet=0, vertexSet=0, v0=5020, v1=5019, v2=5017}
11:10:35: Triangle 42 = {indexSet=0, vertexSet=0, v0=5021, v1=5020, v2=5017}
