02:29:47: Edge Data
02:29:47: ---------
02:29:47: Triangle 0 = {indexSet=0, vertexSet=0, v0=9, v1=5, v2=8}
02:29:47: Triangle 1 = {indexSet=0, vertexSet=0, v0=58, v1=1, v2=10}
02:29:47: Triangle 2 = {indexSet=0, vertexSet=0, v0=10, v1=1, v2=0}
02:29:47: Triangle 3 = {indexSet=0, vertexSet=0, v0=46, v1=0, v2=2}
02:29:47: Triangle 4 = {indexSet=0, vertexSet=0, v0=2, v1=0, v2=1}
02:29:47: Triangle 5 = {indexSet=0, vertexSet=0, v0=1, v1=8, v2=2}
02:29:47: Triangle 6 = {indexSet=0, vertexSet=0, v0=12, v1=2, v2=3}
02:29:47: Triangle 7 = {indexSet=0, vertexSet=0, v0=3, v1=2, v2=5}
02:29:47: Triangle 8 = {indexSet=0, vertexSet=0, v0=7, v1=11, v2=6}
02:29:47: Triangle 9 = {indexSet=0, vertexSet=0, v0=6, v1=11, v2=4}
02:29:47: Triangle 10 = {indexSet=0, vertexSet=0, v0=25, v1=106, v2=24}
02:29:47: Triangle 11 = {indexSet=0, vertexSet=0, v0=24, v1=106, v2=23}
02:29:47: Triangle 12 = {indexSet=0, vertexSet=0, v0=41, v1=39, v2=40}
02:29:47: Triangle 13 = {indexSet=0, vertexSet=0, v0=40, v1=39, v2=38}
02:29:47: Triangle 14 = {indexSet=0, vertexSet=0, v0=99, v1=33, v2=35}
02:29:47: Triangle 15 = {indexSet=0, vertexSet=0, v0=35, v1=33, v2=34}
02:29:47: Triangle 16 = {indexSet=0, vertexSet=0, v0=14, v1=2259, v2=15}
02:29:47: Triangle 17 = {indexSet=0, vertexSet=0, v0=19, v1=18, v2=22}
02:29:47: Triangle 18 = {indexSet=0, vertexSet=0, v0=22, v1=18, v2=21}
02:29:47: Triangle 19 = {indexSet=0, vertexSet=0, v0=20, v1=108, v2=19}
02:29:47: Triangle 20 = {indexSet=0, vertexSet=0, v0=19, v1=108, v2=18}
02:29:47: Triangle 21 = {indexSet=0, vertexSet=0, v0=37, v1=36, v2=16}
02:29:47: Triangle 22 = {indexSet=0, vertexSet=0, v0=16, v1=36, v2=17}
02:29:47: Triangle 23 = {indexSet=0, vertexSet=0, v0=69, v1=28, v2=70}
02:29:47: Triangle 24 = {indexSet=0, vertexSet=0, v0=70, v1=28, v2=29}
02:29:47: Triangle 25 = {indexSet=0, vertexSet=0, v0=31, v1=30, v2=27}
02:29:47: Triangle 26 = {indexSet=0, vertexSet=0, v0=27, v1=30, v2=29}
02:29:47: Triangle 27 = {indexSet=0, vertexSet=0, v0=27, v1=42, v2=31}
02:29:47: Triangle 28 = {indexSet=0, vertexSet=0, v0=31, v1=42, v2=32}
02:29:47: Triangle 29 = {indexSet=0, vertexSet=0, v0=123, v1=127, v2=41}
02:29:47: Triangle 30 = {indexSet=0, vertexSet=0, v0=128, v1=39, v2=127}
02:29:47: Triangle 31 = {indexSet=0, vertexSet=0, v0=127, v1=39, v2=41}
02:29:47: Triangle 32 = {indexSet=0, vertexSet=0, v0=100, v1=101, v2=99}
02:29:47: Triangle 33 = {indexSet=0, vertexSet=0, v0=99, v1=101, v2=21}
02:29:47: Triangle 34 = {indexSet=0, vertexSet=0, v0=99, v1=35, v2=100}
02:29:47: Triangle 35 = {indexSet=0, vertexSet=0, v0=2260, v1=44, v2=2261}
02:29:47: Triangle 36 = {indexSet=0, vertexSet=0, v0=34, v1=47, v2=35}
02:29:47: Triangle 37 = {indexSet=0, vertexSet=0, v0=35, v1=47, v2=116}
02:29:47: Triangle 38 = {indexSet=0, vertexSet=0, v0=47, v1=55, v2=116}
02:29:47: Triangle 39 = {indexSet=0, vertexSet=0, v0=24, v1=55, v2=115}
02:29:47: Triangle 40 = {indexSet=0, vertexSet=0, v0=115, v1=55, v2=54}
02:29:47: Triangle 41 = {indexSet=0, vertexSet=0, v0=116, v1=55, v2=24}
02:29:47: Triangle 42 = {indexSet=0, vertexSet=0, v0=24, v1=23, v2=116}
02:29:47: Triangle 43 = {indexSet=0, vertexSet=0, v0=23, v1=105, v2=116}
02:29:47: Triangle 44 = {indexSet=0, vertexSet=0, v0=116, v1=105, v2=35}
02:29:47: Triangle 45 = {indexSet=0, vertexSet=0, v0=105, v1=100, v2=35}
02:29:47: Triangle 46 = {indexSet=0, vertexSet=0, v0=104, v1=103, v2=105}
02:29:47: Triangle 47 = {indexSet=0, vertexSet=0, v0=105, v1=103, v2=100}
02:29:47: Triangle 48 = {indexSet=0, vertexSet=0, v0=101, v1=100, v2=97}
02:29:47: Triangle 49 = {indexSet=0, vertexSet=0, v0=97, v1=100, v2=103}
02:29:47: Triangle 50 = {indexSet=0, vertexSet=0, v0=101, v1=102, v2=21}
02:29:47: Triangle 51 = {indexSet=0, vertexSet=0, v0=21, v1=102, v2=22}
02:29:47: Triangle 52 = {indexSet=0, vertexSet=0, v0=24, v1=115, v2=110}
02:29:47: Triangle 53 = {indexSet=0, vertexSet=0, v0=24, v1=110, v2=25}
02:29:47: Triangle 54 = {indexSet=0, vertexSet=0, v0=25, v1=110, v2=109}
02:29:47: Triangle 55 = {indexSet=0, vertexSet=0, v0=110, v1=111, v2=109}
02:29:47: Triangle 56 = {indexSet=0, vertexSet=0, v0=115, v1=114, v2=110}
02:29:47: Triangle 57 = {indexSet=0, vertexSet=0, v0=110, v1=114, v2=111}
02:29:47: Triangle 58 = {indexSet=0, vertexSet=0, v0=105, v1=23, v2=104}
02:29:47: Triangle 59 = {indexSet=0, vertexSet=0, v0=104, v1=23, v2=106}
02:29:47: Triangle 60 = {indexSet=0, vertexSet=0, v0=103, v1=104, v2=67}
02:29:47: Triangle 61 = {indexSet=0, vertexSet=0, v0=67, v1=104, v2=68}
02:29:47: Triangle 62 = {indexSet=0, vertexSet=0, v0=71, v1=68, v2=106}
02:29:47: Triangle 63 = {indexSet=0, vertexSet=0, v0=106, v1=68, v2=104}
02:29:47: Triangle 64 = {indexSet=0, vertexSet=0, v0=106, v1=25, v2=71}
02:29:47: Triangle 65 = {indexSet=0, vertexSet=0, v0=71, v1=25, v2=72}
02:29:47: Triangle 66 = {indexSet=0, vertexSet=0, v0=109, v1=80, v2=75}
02:29:47: Triangle 67 = {indexSet=0, vertexSet=0, v0=109, v1=121, v2=80}
02:29:47: Triangle 68 = {indexSet=0, vertexSet=0, v0=121, v1=111, v2=117}
02:29:47: Triangle 69 = {indexSet=0, vertexSet=0, v0=111, v1=118, v2=117}
02:29:47: Triangle 70 = {indexSet=0, vertexSet=0, v0=119, v1=118, v2=114}
02:29:47: Triangle 71 = {indexSet=0, vertexSet=0, v0=114, v1=118, v2=111}
02:29:47: Triangle 72 = {indexSet=0, vertexSet=0, v0=114, v1=51, v2=119}
02:29:47: Triangle 73 = {indexSet=0, vertexSet=0, v0=49, v1=51, v2=53}
02:29:47: Triangle 74 = {indexSet=0, vertexSet=0, v0=53, v1=51, v2=114}
02:29:47: Triangle 75 = {indexSet=0, vertexSet=0, v0=54, v1=53, v2=114}
02:29:47: Triangle 76 = {indexSet=0, vertexSet=0, v0=54, v1=114, v2=115}
02:29:47: Triangle 77 = {indexSet=0, vertexSet=0, v0=112, v1=120, v2=119}
02:29:47: Triangle 78 = {indexSet=0, vertexSet=0, v0=119, v1=120, v2=118}
02:29:47: Triangle 79 = {indexSet=0, vertexSet=0, v0=82, v1=89, v2=90}
02:29:47: Triangle 80 = {indexSet=0, vertexSet=0, v0=90, v1=81, v2=82}
02:29:47: Triangle 81 = {indexSet=0, vertexSet=0, v0=102, v1=101, v2=96}
02:29:47: Triangle 82 = {indexSet=0, vertexSet=0, v0=13, v1=61, v2=96}
02:29:47: Triangle 83 = {indexSet=0, vertexSet=0, v0=96, v1=61, v2=81}
02:29:47: Triangle 84 = {indexSet=0, vertexSet=0, v0=61, v1=60, v2=81}
02:29:47: Triangle 85 = {indexSet=0, vertexSet=0, v0=60, v1=82, v2=81}
02:29:47: Triangle 86 = {indexSet=0, vertexSet=0, v0=97, v1=66, v2=96}
02:29:47: Triangle 87 = {indexSet=0, vertexSet=0, v0=96, v1=66, v2=13}
02:29:47: Triangle 88 = {indexSet=0, vertexSet=0, v0=65, v1=93, v2=60}
02:29:47: Triangle 89 = {indexSet=0, vertexSet=0, v0=93, v1=94, v2=82}
02:29:47: Triangle 90 = {indexSet=0, vertexSet=0, v0=83, v1=89, v2=95}
02:29:47: Triangle 91 = {indexSet=0, vertexSet=0, v0=95, v1=89, v2=94}
02:29:47: Triangle 92 = {indexSet=0, vertexSet=0, v0=83, v1=86, v2=89}
02:29:47: Triangle 93 = {indexSet=0, vertexSet=0, v0=89, v1=86, v2=90}
02:29:47: Triangle 94 = {indexSet=0, vertexSet=0, v0=102, v1=90, v2=22}
02:29:47: Triangle 95 = {indexSet=0, vertexSet=0, v0=22, v1=90, v2=86}
02:29:47: Triangle 96 = {indexSet=0, vertexSet=0, v0=97, v1=96, v2=101}
02:29:47: Triangle 97 = {indexSet=0, vertexSet=0, v0=67, v1=66, v2=103}
02:29:47: Triangle 98 = {indexSet=0, vertexSet=0, v0=103, v1=66, v2=97}
02:29:47: Triangle 99 = {indexSet=0, vertexSet=0, v0=2262, v1=2263, v2=2264}
02:29:47: Triangle 100 = {indexSet=0, vertexSet=0, v0=124, v1=2264, v2=2265}
02:29:47: Triangle 101 = {indexSet=0, vertexSet=0, v0=56, v1=12, v2=2266}
02:29:47: Triangle 102 = {indexSet=0, vertexSet=0, v0=2266, v1=12, v2=11}
02:29:47: Triangle 103 = {indexSet=0, vertexSet=0, v0=2267, v1=45, v2=2268}
02:29:47: Triangle 104 = {indexSet=0, vertexSet=0, v0=52, v1=48, v2=2269}
02:29:47: Triangle 105 = {indexSet=0, vertexSet=0, v0=2269, v1=48, v2=2270}
02:29:47: Triangle 106 = {indexSet=0, vertexSet=0, v0=2271, v1=2272, v2=7}
02:29:47: Triangle 107 = {indexSet=0, vertexSet=0, v0=7, v1=2272, v2=11}
02:29:47: Triangle 108 = {indexSet=0, vertexSet=0, v0=2266, v1=11, v2=2272}
02:29:47: Triangle 109 = {indexSet=0, vertexSet=0, v0=53, v1=54, v2=2273}
02:29:47: Triangle 110 = {indexSet=0, vertexSet=0, v0=2274, v1=2273, v2=54}
02:29:47: Triangle 111 = {indexSet=0, vertexSet=0, v0=2, v1=12, v2=46}
02:29:47: Triangle 112 = {indexSet=0, vertexSet=0, v0=46, v1=12, v2=56}
02:29:47: Triangle 113 = {indexSet=0, vertexSet=0, v0=8, v1=5, v2=2}
02:29:47: Triangle 114 = {indexSet=0, vertexSet=0, v0=54, v1=55, v2=2274}
02:29:47: Triangle 115 = {indexSet=0, vertexSet=0, v0=47, v1=2274, v2=55}
02:29:47: Triangle 116 = {indexSet=0, vertexSet=0, v0=2274, v1=47, v2=34}
02:29:47: Triangle 117 = {indexSet=0, vertexSet=0, v0=2261, v1=0, v2=46}
02:29:47: Triangle 118 = {indexSet=0, vertexSet=0, v0=44, v1=0, v2=2261}
02:29:47: Triangle 119 = {indexSet=0, vertexSet=0, v0=8, v1=58, v2=9}
02:29:47: Triangle 120 = {indexSet=0, vertexSet=0, v0=8, v1=1, v2=58}
02:29:47: Triangle 121 = {indexSet=0, vertexSet=0, v0=2275, v1=2276, v2=2277}
02:29:47: Triangle 122 = {indexSet=0, vertexSet=0, v0=2277, v1=2276, v2=57}
02:29:47: Triangle 123 = {indexSet=0, vertexSet=0, v0=2278, v1=43, v2=2279}
02:29:47: Triangle 124 = {indexSet=0, vertexSet=0, v0=43, v1=2280, v2=2279}
02:29:47: Triangle 125 = {indexSet=0, vertexSet=0, v0=1187, v1=2281, v2=2282}
02:29:47: Triangle 126 = {indexSet=0, vertexSet=0, v0=2283, v1=1188, v2=2284}
02:29:47: Triangle 127 = {indexSet=0, vertexSet=0, v0=2284, v1=1188, v2=2285}
02:29:47: Triangle 128 = {indexSet=0, vertexSet=0, v0=2286, v1=59, v2=2287}
02:29:47: Triangle 129 = {indexSet=0, vertexSet=0, v0=2287, v1=59, v2=2288}
02:29:47: Triangle 130 = {indexSet=0, vertexSet=0, v0=58, v1=2289, v2=2290}
02:29:47: Triangle 131 = {indexSet=0, vertexSet=0, v0=10, v1=2289, v2=58}
02:29:47: Triangle 132 = {indexSet=0, vertexSet=0, v0=44, v1=2289, v2=10}
02:29:47: Triangle 133 = {indexSet=0, vertexSet=0, v0=2291, v1=2292, v2=2289}
02:29:47: Triangle 134 = {indexSet=0, vertexSet=0, v0=2293, v1=2294, v2=2295}
02:29:47: Triangle 135 = {indexSet=0, vertexSet=0, v0=40, v1=38, v2=125}
02:29:47: Triangle 136 = {indexSet=0, vertexSet=0, v0=38, v1=126, v2=125}
02:29:47: Triangle 137 = {indexSet=0, vertexSet=0, v0=79, v1=125, v2=126}
02:29:47: Triangle 138 = {indexSet=0, vertexSet=0, v0=41, v1=40, v2=123}
02:29:47: Triangle 139 = {indexSet=0, vertexSet=0, v0=112, v1=119, v2=50}
02:29:47: Triangle 140 = {indexSet=0, vertexSet=0, v0=50, v1=119, v2=51}
02:29:47: Triangle 141 = {indexSet=0, vertexSet=0, v0=26, v1=112, v2=2296}
02:29:47: Triangle 142 = {indexSet=0, vertexSet=0, v0=2296, v1=112, v2=50}
02:29:47: Triangle 143 = {indexSet=0, vertexSet=0, v0=27, v1=26, v2=42}
02:29:47: Triangle 144 = {indexSet=0, vertexSet=0, v0=42, v1=26, v2=2296}
02:29:47: Triangle 145 = {indexSet=0, vertexSet=0, v0=28, v1=113, v2=26}
02:29:47: Triangle 146 = {indexSet=0, vertexSet=0, v0=26, v1=113, v2=112}
02:29:47: Triangle 147 = {indexSet=0, vertexSet=0, v0=28, v1=69, v2=113}
02:29:47: Triangle 148 = {indexSet=0, vertexSet=0, v0=113, v1=69, v2=78}
02:29:47: Triangle 149 = {indexSet=0, vertexSet=0, v0=107, v1=73, v2=30}
02:29:47: Triangle 150 = {indexSet=0, vertexSet=0, v0=30, v1=73, v2=77}
02:29:47: Triangle 151 = {indexSet=0, vertexSet=0, v0=70, v1=29, v2=77}
02:29:48: Triangle 152 = {indexSet=0, vertexSet=0, v0=77, v1=29, v2=30}
02:29:48: Triangle 153 = {indexSet=0, vertexSet=0, v0=74, v1=108, v2=76}
02:29:48: Triangle 154 = {indexSet=0, vertexSet=0, v0=76, v1=108, v2=20}
02:29:48: Triangle 155 = {indexSet=0, vertexSet=0, v0=107, v1=108, v2=73}
02:29:48: Triangle 156 = {indexSet=0, vertexSet=0, v0=73, v1=108, v2=74}
02:29:48: Triangle 157 = {indexSet=0, vertexSet=0, v0=30, v1=31, v2=107}
02:29:48: Triangle 158 = {indexSet=0, vertexSet=0, v0=32, v1=98, v2=31}
02:29:48: Triangle 159 = {indexSet=0, vertexSet=0, v0=31, v1=98, v2=107}
02:29:48: Triangle 160 = {indexSet=0, vertexSet=0, v0=33, v1=99, v2=32}
02:29:48: Triangle 161 = {indexSet=0, vertexSet=0, v0=32, v1=99, v2=98}
02:29:48: Triangle 162 = {indexSet=0, vertexSet=0, v0=44, v1=2260, v2=2289}
02:29:48: Triangle 163 = {indexSet=0, vertexSet=0, v0=99, v1=21, v2=98}
