02:29:11: Edge Data
02:29:11: ---------
02:29:11: Triangle 0 = {indexSet=0, vertexSet=0, v0=26, v1=27, v2=29}
02:29:11: Triangle 1 = {indexSet=0, vertexSet=0, v0=29, v1=27, v2=28}
02:29:11: Triangle 2 = {indexSet=0, vertexSet=0, v0=82, v1=30, v2=28}
02:29:11: Triangle 3 = {indexSet=0, vertexSet=0, v0=28, v1=30, v2=31}
02:29:11: Triangle 4 = {indexSet=0, vertexSet=0, v0=83, v1=32, v2=31}
02:29:11: Triangle 5 = {indexSet=0, vertexSet=0, v0=31, v1=32, v2=33}
02:29:11: Triangle 6 = {indexSet=0, vertexSet=0, v0=84, v1=34, v2=33}
02:29:11: Triangle 7 = {indexSet=0, vertexSet=0, v0=33, v1=34, v2=35}
02:29:11: Triangle 8 = {indexSet=0, vertexSet=0, v0=85, v1=36, v2=86}
02:29:11: Triangle 9 = {indexSet=0, vertexSet=0, v0=86, v1=36, v2=37}
02:29:11: Triangle 10 = {indexSet=0, vertexSet=0, v0=87, v1=38, v2=37}
02:29:11: Triangle 11 = {indexSet=0, vertexSet=0, v0=37, v1=38, v2=39}
02:29:11: Triangle 12 = {indexSet=0, vertexSet=0, v0=88, v1=40, v2=39}
02:29:11: Triangle 13 = {indexSet=0, vertexSet=0, v0=39, v1=40, v2=41}
02:29:11: Triangle 14 = {indexSet=0, vertexSet=0, v0=89, v1=42, v2=41}
02:29:11: Triangle 15 = {indexSet=0, vertexSet=0, v0=41, v1=42, v2=43}
02:29:11: Triangle 16 = {indexSet=0, vertexSet=0, v0=90, v1=44, v2=43}
02:29:11: Triangle 17 = {indexSet=0, vertexSet=0, v0=43, v1=44, v2=45}
02:29:11: Triangle 18 = {indexSet=0, vertexSet=0, v0=46, v1=91, v2=47}
02:29:11: Triangle 19 = {indexSet=0, vertexSet=0, v0=47, v1=91, v2=29}
02:29:11: Triangle 20 = {indexSet=0, vertexSet=0, v0=92, v1=93, v2=49}
02:29:11: Triangle 21 = {indexSet=0, vertexSet=0, v0=49, v1=93, v2=48}
02:29:11: Triangle 22 = {indexSet=0, vertexSet=0, v0=94, v1=95, v2=51}
