02:28:08: Edge Data
02:28:08: ---------
02:28:08: Triangle 0 = {indexSet=0, vertexSet=0, v0=1, v1=33, v2=0}
02:28:08: Triangle 1 = {indexSet=0, vertexSet=0, v0=0, v1=33, v2=34}
02:28:08: Triangle 2 = {indexSet=0, vertexSet=0, v0=2, v1=32, v2=224}
02:28:08: Triangle 3 = {indexSet=0, vertexSet=0, v0=224, v1=32, v2=225}
02:28:08: Triangle 4 = {indexSet=0, vertexSet=0, v0=3, v1=31, v2=2}
02:28:08: Triangle 5 = {indexSet=0, vertexSet=0, v0=2, v1=31, v2=32}
02:28:08: Triangle 6 = {indexSet=0, vertexSet=0, v0=3, v1=4, v2=31}
02:28:08: Triangle 7 = {indexSet=0, vertexSet=0, v0=31, v1=4, v2=30}
02:28:08: Triangle 8 = {indexSet=0, vertexSet=0, v0=4, v1=5, v2=30}
02:28:08: Triangle 9 = {indexSet=0, vertexSet=0, v0=30, v1=5, v2=29}
02:28:08: Triangle 10 = {indexSet=0, vertexSet=0, v0=5, v1=6, v2=29}
02:28:08: Triangle 11 = {indexSet=0, vertexSet=0, v0=29, v1=6, v2=36}
02:28:08: Triangle 12 = {indexSet=0, vertexSet=0, v0=6, v1=7, v2=36}
02:28:08: Triangle 13 = {indexSet=0, vertexSet=0, v0=36, v1=7, v2=35}
02:28:08: Triangle 14 = {indexSet=0, vertexSet=0, v0=0, v1=34, v2=7}
02:28:08: Triangle 15 = {indexSet=0, vertexSet=0, v0=7, v1=34, v2=35}
02:28:08: Triangle 16 = {indexSet=0, vertexSet=0, v0=8, v1=9, v2=10}
02:28:08: Triangle 17 = {indexSet=0, vertexSet=0, v0=9, v1=8, v2=10}
02:28:08: Triangle 18 = {indexSet=0, vertexSet=0, v0=11, v1=12, v2=10}
02:28:08: Triangle 19 = {indexSet=0, vertexSet=0, v0=12, v1=11, v2=10}
02:28:08: Triangle 20 = {indexSet=0, vertexSet=0, v0=21, v1=48, v2=22}
02:28:08: Triangle 21 = {indexSet=0, vertexSet=0, v0=22, v1=48, v2=49}
02:28:08: Triangle 22 = {indexSet=0, vertexSet=0, v0=22, v1=49, v2=23}
02:28:08: Triangle 23 = {indexSet=0, vertexSet=0, v0=23, v1=49, v2=50}
02:28:08: Triangle 24 = {indexSet=0, vertexSet=0, v0=24, v1=23, v2=51}
02:28:08: Triangle 25 = {indexSet=0, vertexSet=0, v0=51, v1=23, v2=50}
02:28:08: Triangle 26 = {indexSet=0, vertexSet=0, v0=25, v1=24, v2=52}
02:28:08: Triangle 27 = {indexSet=0, vertexSet=0, v0=52, v1=24, v2=51}
02:28:08: Triangle 28 = {indexSet=0, vertexSet=0, v0=26, v1=226, v2=45}
02:28:08: Triangle 29 = {indexSet=0, vertexSet=0, v0=45, v1=226, v2=227}
02:28:08: Triangle 30 = {indexSet=0, vertexSet=0, v0=27, v1=26, v2=46}
02:28:08: Triangle 31 = {indexSet=0, vertexSet=0, v0=46, v1=26, v2=45}
02:28:08: Triangle 32 = {indexSet=0, vertexSet=0, v0=27, v1=46, v2=28}
02:28:08: Triangle 33 = {indexSet=0, vertexSet=0, v0=28, v1=46, v2=47}
02:28:08: Triangle 34 = {indexSet=0, vertexSet=0, v0=28, v1=47, v2=21}
02:28:08: Triangle 35 = {indexSet=0, vertexSet=0, v0=21, v1=47, v2=48}
02:28:08: Triangle 36 = {indexSet=0, vertexSet=0, v0=30, v1=29, v2=22}
02:28:08: Triangle 37 = {indexSet=0, vertexSet=0, v0=22, v1=29, v2=21}
02:28:08: Triangle 38 = {indexSet=0, vertexSet=0, v0=31, v1=30, v2=23}
02:28:08: Triangle 39 = {indexSet=0, vertexSet=0, v0=23, v1=30, v2=22}
02:28:08: Triangle 40 = {indexSet=0, vertexSet=0, v0=31, v1=23, v2=32}
02:28:08: Triangle 41 = {indexSet=0, vertexSet=0, v0=32, v1=23, v2=24}
02:28:08: Triangle 42 = {indexSet=0, vertexSet=0, v0=32, v1=24, v2=225}
02:28:08: Triangle 43 = {indexSet=0, vertexSet=0, v0=225, v1=24, v2=25}
02:28:08: Triangle 44 = {indexSet=0, vertexSet=0, v0=33, v1=226, v2=34}
02:28:08: Triangle 45 = {indexSet=0, vertexSet=0, v0=34, v1=226, v2=26}
02:28:08: Triangle 46 = {indexSet=0, vertexSet=0, v0=35, v1=34, v2=27}
02:28:08: Triangle 47 = {indexSet=0, vertexSet=0, v0=27, v1=34, v2=26}
02:28:08: Triangle 48 = {indexSet=0, vertexSet=0, v0=36, v1=35, v2=28}
02:28:08: Triangle 49 = {indexSet=0, vertexSet=0, v0=28, v1=35, v2=27}
02:28:08: Triangle 50 = {indexSet=0, vertexSet=0, v0=29, v1=36, v2=21}
02:28:08: Triangle 51 = {indexSet=0, vertexSet=0, v0=21, v1=36, v2=28}
02:28:08: Triangle 52 = {indexSet=0, vertexSet=0, v0=37, v1=20, v2=38}
02:28:08: Triangle 53 = {indexSet=0, vertexSet=0, v0=38, v1=20, v2=13}
02:28:08: Triangle 54 = {indexSet=0, vertexSet=0, v0=38, v1=13, v2=39}
02:28:08: Triangle 55 = {indexSet=0, vertexSet=0, v0=39, v1=13, v2=14}
02:28:08: Triangle 56 = {indexSet=0, vertexSet=0, v0=39, v1=14, v2=40}
02:28:08: Triangle 57 = {indexSet=0, vertexSet=0, v0=40, v1=14, v2=15}
02:28:08: Triangle 58 = {indexSet=0, vertexSet=0, v0=40, v1=15, v2=41}
02:28:08: Triangle 59 = {indexSet=0, vertexSet=0, v0=41, v1=15, v2=16}
02:28:08: Triangle 60 = {indexSet=0, vertexSet=0, v0=41, v1=16, v2=42}
02:28:08: Triangle 61 = {indexSet=0, vertexSet=0, v0=42, v1=16, v2=17}
02:28:08: Triangle 62 = {indexSet=0, vertexSet=0, v0=43, v1=228, v2=18}
02:28:08: Triangle 63 = {indexSet=0, vertexSet=0, v0=18, v1=228, v2=229}
02:28:08: Triangle 64 = {indexSet=0, vertexSet=0, v0=44, v1=43, v2=19}
02:28:08: Triangle 65 = {indexSet=0, vertexSet=0, v0=19, v1=43, v2=18}
02:28:08: Triangle 66 = {indexSet=0, vertexSet=0, v0=37, v1=44, v2=20}
02:28:08: Triangle 67 = {indexSet=0, vertexSet=0, v0=20, v1=44, v2=19}
02:28:08: Triangle 68 = {indexSet=0, vertexSet=0, v0=46, v1=45, v2=44}
02:28:08: Triangle 69 = {indexSet=0, vertexSet=0, v0=44, v1=45, v2=43}
02:28:08: Triangle 70 = {indexSet=0, vertexSet=0, v0=47, v1=46, v2=37}
02:28:08: Triangle 71 = {indexSet=0, vertexSet=0, v0=37, v1=46, v2=44}
02:28:08: Triangle 72 = {indexSet=0, vertexSet=0, v0=47, v1=37, v2=48}
02:28:08: Triangle 73 = {indexSet=0, vertexSet=0, v0=48, v1=37, v2=38}
02:28:08: Triangle 74 = {indexSet=0, vertexSet=0, v0=48, v1=38, v2=49}
02:28:08: Triangle 75 = {indexSet=0, vertexSet=0, v0=49, v1=38, v2=39}
02:28:08: Triangle 76 = {indexSet=0, vertexSet=0, v0=49, v1=39, v2=50}
02:28:08: Triangle 77 = {indexSet=0, vertexSet=0, v0=50, v1=39, v2=40}
02:28:08: Triangle 78 = {indexSet=0, vertexSet=0, v0=50, v1=40, v2=51}
02:28:08: Triangle 79 = {indexSet=0, vertexSet=0, v0=51, v1=40, v2=41}
02:28:08: Triangle 80 = {indexSet=0, vertexSet=0, v0=51, v1=41, v2=52}
02:28:08: Triangle 81 = {indexSet=0, vertexSet=0, v0=52, v1=41, v2=42}
02:28:08: Triangle 82 = {indexSet=0, vertexSet=0, v0=45, v1=227, v2=43}
02:28:08: Triangle 83 = {indexSet=0, vertexSet=0, v0=43, v1=227, v2=228}
02:28:08: Triangle 84 = {indexSet=0, vertexSet=0, v0=186, v1=187, v2=53}
02:28:08: Triangle 85 = {indexSet=0, vertexSet=0, v0=53, v1=187, v2=54}
02:28:08: Triangle 86 = {indexSet=0, vertexSet=0, v0=188, v1=55, v2=187}
02:28:08: Triangle 87 = {indexSet=0, vertexSet=0, v0=187, v1=55, v2=54}
02:28:08: Triangle 88 = {indexSet=0, vertexSet=0, v0=230, v1=189, v2=231}
02:28:08: Triangle 89 = {indexSet=0, vertexSet=0, v0=231, v1=189, v2=56}
02:28:08: Triangle 90 = {indexSet=0, vertexSet=0, v0=190, v1=57, v2=189}
02:28:08: Triangle 91 = {indexSet=0, vertexSet=0, v0=189, v1=57, v2=56}
02:28:08: Triangle 92 = {indexSet=0, vertexSet=0, v0=190, v1=191, v2=57}
02:28:08: Triangle 93 = {indexSet=0, vertexSet=0, v0=57, v1=191, v2=58}
02:28:08: Triangle 94 = {indexSet=0, vertexSet=0, v0=192, v1=59, v2=191}
02:28:08: Triangle 95 = {indexSet=0, vertexSet=0, v0=191, v1=59, v2=58}
02:28:08: Triangle 96 = {indexSet=0, vertexSet=0, v0=192, v1=193, v2=59}
02:28:08: Triangle 97 = {indexSet=0, vertexSet=0, v0=59, v1=193, v2=60}
02:28:08: Triangle 98 = {indexSet=0, vertexSet=0, v0=186, v1=53, v2=193}
02:28:08: Triangle 99 = {indexSet=0, vertexSet=0, v0=193, v1=53, v2=60}
02:28:08: Triangle 100 = {indexSet=0, vertexSet=0, v0=54, v1=62, v2=53}
02:28:08: Triangle 101 = {indexSet=0, vertexSet=0, v0=53, v1=62, v2=61}
02:28:08: Triangle 102 = {indexSet=0, vertexSet=0, v0=54, v1=55, v2=62}
02:28:08: Triangle 103 = {indexSet=0, vertexSet=0, v0=62, v1=55, v2=63}
02:28:08: Triangle 104 = {indexSet=0, vertexSet=0, v0=56, v1=64, v2=231}
02:28:08: Triangle 105 = {indexSet=0, vertexSet=0, v0=231, v1=64, v2=232}
02:28:08: Triangle 106 = {indexSet=0, vertexSet=0, v0=56, v1=57, v2=64}
02:28:08: Triangle 107 = {indexSet=0, vertexSet=0, v0=64, v1=57, v2=65}
02:28:08: Triangle 108 = {indexSet=0, vertexSet=0, v0=58, v1=66, v2=57}
02:28:08: Triangle 109 = {indexSet=0, vertexSet=0, v0=57, v1=66, v2=65}
02:28:08: Triangle 110 = {indexSet=0, vertexSet=0, v0=58, v1=59, v2=66}
02:28:08: Triangle 111 = {indexSet=0, vertexSet=0, v0=66, v1=59, v2=67}
02:28:08: Triangle 112 = {indexSet=0, vertexSet=0, v0=60, v1=68, v2=59}
02:28:08: Triangle 113 = {indexSet=0, vertexSet=0, v0=59, v1=68, v2=67}
02:28:08: Triangle 114 = {indexSet=0, vertexSet=0, v0=60, v1=53, v2=68}
02:28:08: Triangle 115 = {indexSet=0, vertexSet=0, v0=68, v1=53, v2=61}
